id,category,subcategory,text_zh,text_en,difficulty,information_value,discrimination_targets,test_phase,complexity_level,option_a_zh,option_a_en,option_b_zh,option_b_en,option_c_zh,option_c_en,option_d_zh,option_d_en,qian_coeff_a,kun_coeff_a,zhen_coeff_a,xun_coeff_a,kan_coeff_a,li_coeff_a,gen_coeff_a,dui_coeff_a,qian_coeff_b,kun_coeff_b,zhen_coeff_b,xun_coeff_b,kan_coeff_b,li_coeff_b,gen_coeff_b,dui_coeff_b,qian_coeff_c,kun_coeff_c,zhen_coeff_c,xun_coeff_c,kan_coeff_c,li_coeff_c,gen_coeff_c,dui_coeff_c,qian_coeff_d,kun_coeff_d,zhen_coeff_d,xun_coeff_d,kan_coeff_d,li_coeff_d,gen_coeff_d,dui_coeff_d
inner_001,inner_motivation,achievement,"面对新的挑战时，你的第一反应是什么？","When facing new challenges, what is your first reaction?",0.8,0.9,"qian,zhen",exploration,medium,"兴奋地接受挑战，追求突破","Excitedly accept the challenge and pursue breakthroughs","仔细评估风险，确保安全","Carefully assess risks to ensure safety","寻找创新的解决方案","Look for innovative solutions","与他人协作共同应对","Collaborate with others to tackle it together",0.9,0.1,0.7,0.3,0.5,0.6,0.2,0.4,0.2,0.9,0.1,0.4,0.3,0.2,0.8,0.5,0.6,0.2,0.9,0.5,0.7,0.8,0.3,0.4,0.3,0.6,0.4,0.8,0.4,0.5,0.4,0.9
inner_002,inner_motivation,achievement,"什么最能激发你的内在动力？","What most motivates you internally?",0.7,0.8,"qian,li",exploration,medium,"获得认可和成就感","Gaining recognition and sense of achievement","维护稳定和和谐","Maintaining stability and harmony","探索未知和创新","Exploring the unknown and innovating","帮助他人成长","Helping others grow",0.9,0.2,0.6,0.3,0.4,0.7,0.3,0.5,0.3,0.9,0.2,0.5,0.4,0.3,0.8,0.6,0.5,0.3,0.8,0.4,0.9,0.7,0.4,0.3,0.4,0.7,0.5,0.6,0.6,0.8,0.5,0.9
inner_003,inner_motivation,achievement,"当你设定目标时，什么因素最重要？","When setting goals, what factor is most important?",0.6,0.7,"qian,gen",discrimination,simple,"目标的挑战性和成就感","Challenge and sense of achievement","目标的可实现性和安全性","Achievability and safety","目标的创新性和突破性","Innovation and breakthrough potential","目标对他人的积极影响","Positive impact on others",0.9,0.2,0.5,0.3,0.4,0.6,0.7,0.3,0.3,0.8,0.2,0.4,0.5,0.3,0.9,0.4,0.6,0.3,0.7,0.4,0.8,0.6,0.4,0.5,0.4,0.6,0.5,0.7,0.6,0.8,0.5,0.9
inner_004,inner_motivation,achievement,"在追求成功的过程中，你最看重什么？","In pursuing success, what do you value most?",0.7,0.8,"qian,dui",discrimination,medium,"个人能力的提升","Personal capability improvement","团队的和谐合作","Team harmony and cooperation","创新思维的发挥","Creative thinking application","人际关系的建立","Building interpersonal relationships",0.9,0.2,0.6,0.3,0.5,0.7,0.4,0.3,0.3,0.8,0.3,0.5,0.4,0.4,0.7,0.6,0.6,0.4,0.7,0.5,0.8,0.6,0.5,0.4,0.4,0.8,0.5,0.6,0.7,0.9,0.5,0.8
inner_005,inner_motivation,achievement,"你认为真正的成功是什么？","What do you think true success is?",0.8,0.9,"qian,kun",confirmation,complex,"超越他人，达到顶峰","Surpassing others and reaching the peak","内心平静，生活稳定","Inner peace and stable life","不断创新，突破自我","Continuous innovation and self-breakthrough","帮助他人，共同成长","Helping others and growing together",0.9,0.1,0.6,0.2,0.4,0.6,0.3,0.2,0.2,0.9,0.2,0.3,0.3,0.2,0.7,0.4,0.7,0.3,0.8,0.4,0.7,0.5,0.4,0.3,0.4,0.6,0.5,0.7,0.6,0.8,0.6,0.9
inner_006,inner_motivation,achievement,"面对失败时，你的态度是？","What is your attitude when facing failure?",0.7,0.8,"qian,zhen",confirmation,medium,"分析原因，重新挑战","Analyze reasons and challenge again","接受现实，寻求稳定","Accept reality and seek stability","从中学习，寻找新方法","Learn from it and find new methods","寻求支持，共同面对","Seek support and face together",0.9,0.2,0.8,0.3,0.5,0.6,0.4,0.3,0.3,0.8,0.2,0.4,0.4,0.3,0.7,0.5,0.6,0.4,0.7,0.5,0.9,0.6,0.5,0.4,0.4,0.7,0.5,0.8,0.6,0.7,0.6,0.9
inner_007,inner_motivation,security,"在做重要决定时，你最依赖什么？","When making important decisions, what do you rely on most?",0.8,0.9,"kun,kan",exploration,medium,"逻辑分析和数据","Logic analysis and data","直觉和感受","Intuition and feelings","过往经验和传统","Past experience and tradition","他人的建议和意见","Others' advice and opinions",0.7,0.3,0.4,0.5,0.9,0.6,0.8,0.2,0.4,0.7,0.6,0.8,0.5,0.9,0.4,0.6,0.3,0.9,0.2,0.6,0.4,0.7,0.8,0.3,0.5,0.8,0.5,0.4,0.7,0.3,0.8,0.5
inner_008,inner_motivation,security,"你最害怕失去什么？","What are you most afraid of losing?",0.7,0.8,"kun,gen",exploration,simple,"个人成就和地位","Personal achievements and status","安全感和稳定性","Security and stability","自由和独立性","Freedom and independence","人际关系和连接","Relationships and connections",0.8,0.2,0.5,0.4,0.6,0.7,0.3,0.4,0.2,0.9,0.3,0.5,0.4,0.3,0.9,0.5,0.7,0.4,0.8,0.3,0.6,0.5,0.4,0.6,0.3,0.6,0.5,0.7,0.4,0.6,0.9,0.7
inner_009,inner_motivation,security,"什么样的环境让你感到最舒适？","What kind of environment makes you feel most comfortable?",0.6,0.7,"kun,dui",discrimination,simple,"竞争激烈的挑战环境","Highly competitive challenging environment","和谐稳定的协作环境","Harmonious and stable collaborative environment","自由开放的创新环境","Free and open innovative environment","温暖支持的社交环境","Warm and supportive social environment",0.8,0.2,0.6,0.4,0.5,0.6,0.3,0.4,0.3,0.9,0.3,0.6,0.4,0.4,0.8,0.7,0.6,0.4,0.8,0.5,0.7,0.6,0.5,0.4,0.4,0.7,0.5,0.8,0.5,0.6,0.7,0.9
inner_010,inner_motivation,security,"在不确定的情况下，你倾向于？","In uncertain situations, you tend to?",0.8,0.9,"kun,xun",discrimination,medium,"积极行动，创造机会","Take active action and create opportunities","谨慎观察，等待时机","Observe carefully and wait for timing","灵活应变，随机应对","Be flexible and adapt as needed","寻求指导，降低风险","Seek guidance and reduce risks",0.7,0.2,0.6,0.4,0.5,0.6,0.3,0.4,0.3,0.9,0.3,0.5,0.4,0.3,0.7,0.5,0.5,0.4,0.8,0.6,0.9,0.6,0.5,0.4,0.4,0.6,0.5,0.7,0.6,0.8,0.9,0.6
